TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2019-08-14 12:18:58.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:18:58.862,0,0.719531833100863,0.888975526111152,0.7378377790248497,0,0.4033575758635174,0.9941146383011293,0.4829516876718458,0,0.7714595066425779,0.9501681349102912,0.7757293224712133,0,0.7333272177383098,1.435285322323537,0.7134712421588872,0,1.48447708617737,1.298649047123891,0.3428322228150937,411.3919413919414,882.014652014652,250.2197802197802,832.0512820512821,836.0805860805862,0.550415,0.071899,0.823608,-1.428070,4.194489,4.044952,1,1,1,1,1,77.140625
2019-08-14 12:18:59.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:18:59.862,0,0.7318144116831268,0.888975526111152,0.7498119302514948,0,0.2189326037034198,0.9941146383011293,0.673555572115401,0,0.6035922210644062,0.9501681349102912,0.9144892434103323,0,0.6656776894223805,1.435285322323537,1.041979323606153,0,1.499157444251596,1.298649047123891,0.588377885358725,626.5567765567765,863.0769230769231,26.996336996337,876.3736263736264,827.2161172161173,0.553345,0.071106,0.821594,-1.091614,3.671112,4.329071,1,1,1,1,1,77.109375
2019-08-14 12:19:00.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:00.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:00.863,0,0.8176770866711163,0.888975526111152,0.746074663726098,0,0.3779343215547558,0.9941146383011293,0.8369004434583872,0,0.5008878754085353,0.9501681349102912,0.9009866087393501,0,0.5980507226571491,1.435285322323537,1.101823669193923,0,1.496573221007428,1.298649047123891,0.5203873131686036,973.4798534798535,894.1025641025641,217.5824175824176,861.4652014652015,860.6593406593407,0.547058,0.067200,0.822266,-1.114044,4.471130,3.910370,1,1,1,1,1,77.109375
2019-08-14 12:19:01.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:01.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-08-14 12:19:01.862,0,0.5847532960099222,0.888975526111152,0.746074663726098,0,0.2192097030619311,0.9941146383011293,0.8369004434583872,0,0.581201187659252,0.9501681349102912,0.9009866087393501,0,0.7277170485513663,1.435285322323537,1.101823669193923,0,1.452099787522754,1.298649047123891,0.5203873131686036,850.989010989011,803.040293040293,18.13186813186813,886.0439560439561,871.941391941392,0.557190,0.071777,0.821899,-1.338348,3.745880,4.164581,1,1,1,1,1,77.109375
